Model,RMSE,MAE,Precision@5,Recall@5
SVD,0.8807462819979623,0.6765729095860605,0.7347540983606557,0.4706766037730333
User-Based CF,0.9744951048950405,0.7513192358857818,0.7377049180327869,0.4704960772870205
Item-Based CF,0.9752632714935701,0.75744674971966,0.6685245901639344,0.44519876228556327
